RID,AlignID,tmean,FoundIn,Name.1,MatchFactor.1,DB.Id.1,CAS.1,Formula.1,Name.2,MatchFactor.2,DB.Id.2,CAS.2,Formula.2,Name.3,MatchFactor.3,DB.Id.3,CAS.3,Formula.3,Name.4,MatchFactor.4,DB.Id.4,CAS.4,Formula.4,Name.5,MatchFactor.5,DB.Id.5,CAS.5,Formula.5,Name.6,MatchFactor.6,DB.Id.6,CAS.6,Formula.6,Name.7,MatchFactor.7,DB.Id.7,CAS.7,Formula.7,Name.8,MatchFactor.8,DB.Id.8,CAS.8,Formula.8,Name.9,MatchFactor.9,DB.Id.9,CAS.9,Formula.9,Name.10,MatchFactor.10,DB.Id.10,CAS.10,Formula.10,Name.11,MatchFactor.11,DB.Id.11,CAS.11,Formula.11,Name.12,MatchFactor.12,DB.Id.12,CAS.12,Formula.12,Name.13,MatchFactor.13,DB.Id.13,CAS.13,Formula.13,Name.14,MatchFactor.14,DB.Id.14,CAS.14,Formula.14,Name.15,MatchFactor.15,DB.Id.15,CAS.15,Formula.15,Name.16,MatchFactor.16,DB.Id.16,CAS.16,Formula.16,Name.17,MatchFactor.17,DB.Id.17,CAS.17,Formula.17,Name.18,MatchFactor.18,DB.Id.18,CAS.18,Formula.18,Name.19,MatchFactor.19,DB.Id.19,CAS.19,Formula.19,Name.20,MatchFactor.20,DB.Id.20,CAS.20,Formula.20
67,97,5.2547,100,".alpha.-d-Gulofuranoside, phenyl-",88.91,287193,,C12H16O6,".beta.-d-Mannofuranoside, phenyl",88.62,287200,93524-17-5,C12H16O6,Phenyl 3-deoxy-.alpha.-d-ribo-hexoside,88.46,287191,,C12H16O5,"1-Propene, 3-[dimethylamie(B-N)obis(trifluoromethyl)boryl]-1-phenyl-",88.45,287525,,C13H16BF6N,"Carbonic acid, octadecyl phenyl ester",88.38,287117,,C25H42O3,Phenyl 3-deoxy-.beta.-d-ribo-hexopyranoside,88.3,287192,,C12H16O5,"Carbonic acid, hexadecyl phenyl ester",88.26,287119,,C23H38O3,".beta.-d-Lyxofuranoside, phenyl",88.15,287196,128902-56-7,C11H14O5,"Carbonic acid, phenyl tetradecyl ester",88.12,287056,,C21H34O3,"Carbonic acid, nonyl phenyl ester",88.02,287055,,C16H24O3,Phenyl-.beta.-D-glucoside,87.96,287195,1464-44-4,C12H16O6,Phenyl .alpha.-d-sedoheptuloside,87.92,287064,,C13H18O7,"Carbonic acid, octyl phenyl ester",87.9,287116,,C15H22O3,Phenyl .beta.-d-alloside,87.9,287320,,C12H16O6,Phenyl-.beta.-D-glucoside,87.88,314094,1464-44-4,C12H16O6,"Carbonic acid, pentadecyl phenyl ester",87.83,287383,,C22H36O3,"Carbonic acid, phenyl tridecyl ester",87.76,287122,,C20H32O3,"Carbonic acid, decyl phenyl ester",87.63,287121,,C17H26O3,"Carbonic acid, dodecyl phenyl ester",87.42,287113,,C19H30O3,"Benzene, (octyloxy)-",87.22,314042,1818-07-1,C14H22O
87,98,5.6017,100,"1-butanamine, 4-[2,4-bis(1,1-dimethylpropyl)phenoxy]-N-[propylidene]-",96.28,269076,,C23H39NO,"1-Propene-1,2,3-tricarboxylic acid",95.97,122392,499-12-7,C6H6O6,cis-Aconitic anhydride,95.36,144140,6318-55-4,C6H4O5,"5-Ethoxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid, ethyl ester",95.34,269073,51099-55-9,C9H15NO3,"3-Oxa-1-azabicyclo[3.2.0]heptan-4-one, 2-(1,1-dimethylethyl)-, cis-(.+-.)-",94.56,269080,86046-39-1,C9H15NO2,"2-Heptanol, 3-methyl-",94.37,343656,31367-46-1,C8H18O,"5-Ethoxy-2-ethoxymethyl-3,4-dihydro-2H-pyrrole",94.21,269088,,C9H17NO2,"5-Ethoxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid",94.01,268177,,C7H11NO3,"1,3-Cyclohexanedione",93.57,254515,504-02-9,C6H8O2,"2H-Pyrrole-2-carboxylic acid, 5-ethoxy-3,4-dihydro-, methyl ester, (S)-",93.32,269075,65571-69-9,C8H13NO3,"2-Cyclohexen-1-one, 3-ethoxy-5,5-dimethyl-",92.73,268641,6267-39-6,C10H16O2,4-Nitro-N-(2-oxo-2-piperidinoethyl)pyrazole-3-carboxamide,92.69,239788,303194-87-8,C11H15N5O4,7-Oxabicyclo[2.2.1]heptan-2-one,92.44,138431,,C6H8O2,2-Methoxymethyl-2-methylpyrrolidine-1-carboxaldehyde,92.43,268197,,C8H15NO2,"3-t-Butyl-dihydro-pyrrolo[1,2-c]oxazole-1,5-dione",92.39,269074,,C10H15NO3,"Boranamine, N,N,1,1-tetraethyl-",92.3,311316,4023-39-6,C8H20BN,"2-Cyclohexen-1-one, 3-hydroxy-",92.21,254513,30182-67-3,C6H8O2,"5,5'-Bi-1-pyrroline, 2,2'-diethoxy-",92.1,269087,93042-03-6,C12H20N2O2,"Tetrahydrocyclopenta[1,3]dioxin-4-one",92.02,237079,124898-85-7,C7H10O3,"Piperidine, 1,1'-carbonylbis-",92.01,311254,5395-04-0,C11H20N2O
75,99,5.3986,100,"Carbonic acid, phenyl undec-10-enyl ester",96.28,287100,,C18H26O3,"Carbonic acid, dodecyl phenyl ester",96.25,287113,,C19H30O3,"Carbonic acid, phenyl tridecyl ester",96.23,287122,,C20H32O3,"2-Propanone, 1,3-difluoro-",96.2,234472,453-14-5,C3H4F2O,"Carbonic acid, octyl phenyl ester",96.16,287116,,C15H22O3,"Octane, 4-phenoxy-",96.16,287373,,C14H22O,"4H-1,2,4-Triazole-3-carbonitrile",96.16,287153,3641-10-9,C3H2N4,"1H-Pyrazole, 1-vinyl-",96.14,237378,,C5H6N2,"Carbonic acid, hexadecyl phenyl ester",96.12,287119,,C23H38O3,"8-Azabicyclo[3.2.1]oct-6-en-3-ol, 8-methyl-, endo-",96.11,287048,20513-09-1,C8H13NO,N-Vinylimidazole,96.1,287024,1072-63-5,C5H6N2,Phenol,96.1,314075,108-95-2,C6H6O,"Pyrazine, methyl-",96.1,287157,109-08-0,C5H6N2,"Octane, 3-phenoxy-",96.09,287374,,C14H22O,"Pyrazine, methyl-",96.09,314076,109-08-0,C5H6N2,3-Methylpyridazine,96.09,314025,1632-76-4,C5H6N2,"Pyrazine, methyl-",96.08,314081,109-08-0,C5H6N2,Phenol,96.08,287141,108-95-2,C6H6O,"2-Oxabicyclo[3.2.0]hepta-3,6-diene",96.07,236926,13920-54-2,C6H6O,Phenol,96.07,314074,108-95-2,C6H6O
70,100,5.302,100,"Butanoic acid, phenyl ester",82.08,314044,4346-18-3,C10H12O2,"Butanoic acid, phenyl ester",82.06,314045,4346-18-3,C10H12O2,".alpha.-d-Gulofuranoside, phenyl-",81.9,287193,,C12H16O6,".beta.-d-Mannofuranoside, phenyl",81.85,287200,93524-17-5,C12H16O6,"Butanoic acid, phenyl ester",81.54,287066,4346-18-3,C10H12O2,"Carbonic acid, octadecyl phenyl ester",81.17,287117,,C25H42O3,Phenyl 3-deoxy-.beta.-d-ribo-hexopyranoside,80.89,287192,,C12H16O5,".beta.-d-Lyxofuranoside, phenyl",80.84,287196,128902-56-7,C11H14O5,Phenyl 3-deoxy-.alpha.-d-ribo-hexoside,80.63,287191,,C12H16O5,Phenyl .alpha.-d-sedoheptuloside,80.57,287064,,C13H18O7,"Carbonic acid, hexadecyl phenyl ester",80.46,287119,,C23H38O3,"Carbonic acid, nonyl phenyl ester",80.03,287055,,C16H24O3,"Carbonic acid, phenyl tetradecyl ester",79.99,287056,,C21H34O3,"1-Propanol, 2-chloro-",79.87,344986,78-89-7,C3H7ClO,Phenyl .beta.-d-alloside,79.67,287320,,C12H16O6,Phenyl-.beta.-D-glucoside,79.61,314094,1464-44-4,C12H16O6,Phenyl-.beta.-D-glucoside,79.57,287195,1464-44-4,C12H16O6,"Carbonic acid, neopentyl phenyl ester",79.32,314046,13183-19-2,C12H16O3,"Carbonic acid, pentadecyl phenyl ester",79.24,287383,,C22H36O3,"Carbonic acid, phenyl tridecyl ester",79.16,287122,,C20H32O3
65,101,5.2284,100,"Benzene, [(1-methyl-2-propenyl)oxy]-",78,287098,22509-78-0,C10H12O,"Benzene, (2-butenyloxy)-",78,287096,14503-58-3,C10H12O,"2-Propanone, 1,3-difluoro-",77.99,234472,453-14-5,C3H4F2O,"4H-1,2,4-Triazole-3-carbonitrile",77.97,287153,3641-10-9,C3H2N4,"1H-Pyrazole, 1-vinyl-",77.94,237378,,C5H6N2,"Carbonic acid, heptyl phenyl ester",77.93,287112,,C14H20O3,Phenol,77.93,314075,108-95-2,C6H6O,"Pyrazine, methyl-",77.92,287157,109-08-0,C5H6N2,3-Methylpyridazine,77.92,314025,1632-76-4,C5H6N2,"Pyrazine, methyl-",77.92,314076,109-08-0,C5H6N2,"Benzene, (1,1-dimethylethoxy)-",77.91,314029,6669-13-2,C10H14O,"Pyrazine, methyl-",77.91,314081,109-08-0,C5H6N2,"2-Oxabicyclo[3.2.0]hepta-3,6-diene",77.91,236926,13920-54-2,C6H6O,Phenol,77.91,314074,108-95-2,C6H6O,2-Aminopyridine,77.91,314088,504-29-0,C5H6N2,3-Methylpyridazine,77.91,287003,1632-76-4,C5H6N2,Phenol,77.91,314071,108-95-2,C6H6O,N-Vinylimidazole,77.91,287024,1072-63-5,C5H6N2,Phenol,77.9,287141,108-95-2,C6H6O,"1H-Imidazole, 2-ethenyl-",77.9,287023,43129-93-7,C5H6N2
77,102,5.4679,100,"3-Amino-4,5-dihydro-3H-[1,3']bipyridinyl-2,6-dione",94.12,287317,,C10H11N3O2,"3,7-Nonadien-2-one, 8-methyl-, (E)-",93.62,238214,35408-14-1,C10H16O,"3-Amino-4,5-dihydro-3H-[1,4']bipyridinyl-2,6-dione",92.81,268951,,C10H11N3O2,"Pyrrolidine, 2-dodecyl-1-methyl-",92.7,268950,3447-08-3,C17H35N,"Pyrrolidine, 2-decyl-1-methyl-",89.91,268948,3447-07-2,C15H31N,"3-Amino-4,5-dihydro-3H-[1,2']bipyridinyl-2,6-dione",88.69,287318,,C10H11N3O2,"2-Pyrrolidinecarboxamide, 5-oxo-N-[1-(2-pyridinyl)-2,5-dioxopyrrolidin-3-yl]-",83.41,268952,183849-88-9,C14H14N4O4,"2,6-Octadienal, 3,7-dimethyl-, (E)-",82.64,306003,141-27-5,C10H16O,"Pyrrolidine, 1-methyl-2-octyl-",80.09,268949,3447-06-1,C13H27N,4-Heptenal,79.24,237116,62238-34-0,C7H12O,"4-Heptenal, (E)-",78.11,234408,929-22-6,C7H12O,"Pyrrolidine, 2-hexyl-1-methyl-",77.5,268459,3447-05-0,C11H23N,Tetradonium Bromide,77.1,347357,1119-97-7,C17H38BrN,Citral,75.97,238216,5392-40-5,C10H16O,"2,6-Octadienal, 3,7-dimethyl-, (E)-",75.84,306002,141-27-5,C10H16O,"Butan-2-ol, 3,3-dimethyl-1-(pyrrolidin-1-yl)-",75.81,269093,,C10H21NO,"1-Methyl-5-piperidin-1-yl-imidazolidin-2,4-dione",75.73,268198,,C9H15N3O2,"1,2-Propanediol, 3-(1-pyrrolidinyl)-",75.69,268297,85391-19-1,C7H15NO2,"6-Hydroxy-2,6-dihydropyran-3-one",75.62,268423,,C5H6O3,"Pyrrolidine, 1,2-dedihydro-5-[3-hydroxy-1-butyl]-2-methylthio-",75.61,268416,,C9H17NOS
73,106,5.3313,100,"Cyclotetrasiloxane, octamethyl-",98.24,340385,556-67-2,C8H24O4Si4,"Cyclotetrasiloxane, octamethyl-",97.83,340386,556-67-2,C8H24O4Si4,"Cyclotetrasiloxane, octamethyl-",97.81,340388,556-67-2,C8H24O4Si4,"Cyclotetrasiloxane, octamethyl-",97.36,195644,556-67-2,C8H24O4Si4,"Cyclotetrasiloxane, octamethyl-",97.2,340387,556-67-2,C8H24O4Si4,"1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol",96.83,195367,,C12H34O5Si4,"2,4-Dihydroxy-3-methylbenzaldehyde, 2TMS",96.79,195607,,C14H24O3Si2,"2,6-Dihydroxyacetophenone, 2TMS derivative",96.6,195601,,C14H24O3Si2,"1-(2,4-Dihydroxyphenyl)-2-(4-fluorophenoxy)ethanone, 2TMS derivative",96.37,195383,,C20H27FO4Si2,"2,5-Dihydroxyacetophenone, 2TMS derivative",96.33,195603,,C14H24O3Si2,"1-[2,4-Bis(trimethylsiloxy)phenyl]-2-[(4-trimethylsiloxy)phenyl]propan-1-one",96.06,195608,102907-88-0,C24H38O4Si3,"1-(2,4-Dihydroxyphenyl)-2-(4-nitrophenyl)ethanone, 2 TMS derivative",95.92,195385,,C20H27NO5Si2,"1-(2,4-Dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one, 2TMS derivative",95.86,195605,,C23H34O5Si2,"Angolensin, 2TMS derivative",95.85,195606,,C22H32O4Si2,"1-Heptene, 1,3-diphenyl-1-(trimethylsilyloxy)-",95.84,195379,,C22H30OSi,"1,3,5,7,9-Pentasiloxane, 1,1,3,3,5,5,7,7,9,9-decamethyl-1,9-di(tert.butyl)-",95.71,195451,,C18H48O4Si5,"3-Methylsalicylic acid, 2TMS derivative",95.6,340378,,C14H24O3Si2,"5-Methylsalicylic acid, 2TMS derivative",95.54,195374,910615-60-0,C14H24O3Si2,.beta.-Hydroxyethyltheophylline tert-butyldimethylsilyl ether,95.53,195604,,C15H26N4O3Si,"5-Methylsalicylic acid, 2TMS derivative",95.53,340377,910615-60-0,C14H24O3Si2
79,107,5.5404,100,L-Prolinamide,97.67,242101,7531-52-4,C5H10N2O,"1,3,2-Dioxaborolan-4-one, 2-ethyl-",97.62,242483,74646-12-1,C4H7BO3,"2H-Pyran-2,6(3H)-dione, dihydro-",97.56,253409,108-55-4,C5H6O3,"Cyclohexanone, 2-hydroxy-",97.51,242393,533-60-8,C6H10O2,N-Acetylethylenediamine,97.44,11558,1001-53-2,C4H10N2O,"Oxalic acid, dicyclobutyl ester",97.44,130996,,C10H14O4,3-Butyn-2-ol,97.44,139579,2028-63-9,C4H6O,3-Butyn-1-ol,97.44,144126,927-74-2,C4H6O,"1,2-Propadiene-1,3-dione",97.44,144146,504-64-3,C3O2,"Borane, ethyldimethyl-",97.44,144191,1113-22-0,C4H11B,"1,3,5,7,9,11,13-Heptavinyl-3,11,13-tributoxytricyclo[5.5.1.3(3,11)]heptasiloxane",97.44,229919,110991-18-9,C26H48O12Si7,"Cyclopropane, methylmethylene-",97.44,235845,18631-84-0,C5H8,"Aziridine, 1-methyl-2-methylene-",97.44,237182,25012-55-9,C4H7N,"1H-1,2,3-Triazole",97.44,237781,288-36-8,C2H3N3,"1H-1,2,4-Triazole",97.44,238513,288-88-0,C2H3N3,Fluoroform,97.44,238730,75-46-7,CHF3,"2,2'-Bipyrrolidine",97.44,241756,,C8H16N2,2-Ethylhexanal ethylene glycol acetal,97.44,247183,,C10H20O2,3-Aminopropionitrile,97.44,327990,151-18-8,C3H6N2,3-Butyn-1-ol,97.44,347185,927-74-2,C4H6O
81,109,5.5734,100,"4-Octene, (E)-",98.7,344512,14850-23-8,C8H16,"1,2-Cyclohexanedione",97.85,345040,765-87-7,C6H8O2,"1,2-Cyclohexanedione",97.79,160594,765-87-7,C6H8O2,"Piperazine, 2,6-dimethyl-1,4-dinitroso-",97.23,11924,55380-34-2,C6H12N4O2,"2-Heptene, 5-methyl-",97.12,169431,22487-87-2,C8H16,"1,2-Cyclohexanedione",97.02,319157,765-87-7,C6H8O2,"4-Octene, (E)-",96.61,344513,14850-23-8,C8H16,"3-Octene, (E)-",96.24,306760,14919-01-8,C8H16,"4-Octene, (Z)-",96.19,134392,7642-15-1,C8H16,"2-Octene, (E)-",95.99,344505,13389-42-9,C8H16,2-Methyl-2-heptene,95.96,238053,627-97-4,C8H16,"3-Heptene, 4-methyl-",95.5,344850,4485-16-9,C8H16,"3-Heptene, 4-methyl-",95.22,146211,4485-16-9,C8H16,"3-Octene, (Z)-",95.18,228887,14850-22-7,C8H16,"1,2-Cyclohexanedione",95,319158,765-87-7,C6H8O2,"1,2-Cyclohexanedione",94.94,344379,765-87-7,C6H8O2,"2-Heptene, 5-methyl-",94.88,345586,22487-87-2,C8H16,"4-Octene, (E)-",94.84,135409,14850-23-8,C8H16,"1-Heptene, 2-methyl-",94.64,345468,15870-10-7,C8H16,"3-Heptene, 2-methyl-, (E)-",94.37,306137,692-96-6,C8H16
85,110,5.5799,100,"4-Octene, (E)-",98.6,344512,14850-23-8,C8H16,"2-Heptene, 5-methyl-",98.16,169431,22487-87-2,C8H16,"1,2-Cyclohexanedione",97.91,345040,765-87-7,C6H8O2,"3-Octene, (E)-",97.9,306760,14919-01-8,C8H16,"4-Octene, (Z)-",97.34,134392,7642-15-1,C8H16,"3-Heptene, 4-methyl-",97.1,344850,4485-16-9,C8H16,"3-Heptene, 4-methyl-",96.98,146211,4485-16-9,C8H16,"2-Heptene, 5-methyl-",96.94,345586,22487-87-2,C8H16,"3-Octene, (Z)-",96.75,228887,14850-22-7,C8H16,"2-Octene, (E)-",96.74,344505,13389-42-9,C8H16,"4-Octene, (E)-",96.42,344513,14850-23-8,C8H16,"Piperazine, 2,6-dimethyl-1,4-dinitroso-",96.32,11924,55380-34-2,C6H12N4O2,"2-Octene, (E)-",96.24,134403,13389-42-9,C8H16,"2-Octene, (Z)-",96.04,135410,7642-04-8,C8H16,"3-Octene, (Z)-",96,344511,14850-22-7,C8H16,"3-Heptene, 4-methyl-",95.86,344849,4485-16-9,C8H16,"2-Heptene, 6-methyl-",95.8,172753,73548-72-8,C8H16,"3-Octene, (E)-",95.71,228883,14919-01-8,C8H16,"4-Octene, (E)-",95.69,135409,14850-23-8,C8H16,"2-Amino-N-cyclohexylethanesulfonamide, N,N'-bis-methyl",95.63,11923,1248686-42-1,C10H22N2O2S
80,111,5.5714,100,"1,2-Cyclohexanedione",97.34,319157,765-87-7,C6H8O2,"1,2-Cyclohexanedione",97.11,319158,765-87-7,C6H8O2,"1,2-Cyclohexanedione",94.79,160594,765-87-7,C6H8O2,"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",94.59,319153,80-71-7,C6H8O2,"1,2-Cyclopentanedione, 3-methyl-",94.41,11787,765-70-8,C6H8O2,"1,2-Cyclopentanedione, 3-methyl-",94.27,319187,765-70-8,C6H8O2,"1,2-Cyclopentanedione, 3-methyl-",94.17,319143,765-70-8,C6H8O2,"1,3-Cyclohexanedione, 4-propyl-",93.9,11799,18456-81-0,C9H14O2,"Cyclohexanone, 4-methyl-",93.65,160592,589-92-4,C7H12O,"Phenol, 4-fluoro-",93.54,319214,371-41-5,C6H5FO,"Cyclohexanone, 2-methyl-",93.35,305501,583-60-8,C7H12O,"1,3-Cyclopentanedione, 2-methyl-",93.03,319161,765-69-5,C6H8O2,"Phenol, 4-fluoro-",92.92,11985,371-41-5,C6H5FO,"1,2-Cyclopentanedione, 3-methyl-",92.77,319176,765-70-8,C6H8O2,"Phenol, 4-fluoro-",92.71,319213,371-41-5,C6H5FO,"Cyclohexanone, 4-methyl-",92.54,344785,589-92-4,C7H12O,"3-Octanethiol, thiolacetate",92.53,29114,,C10H20OS,"Cyclohexanone, 2-methyl-",92.49,305635,583-60-8,C7H12O,"1,3-Cyclopentanedione, 2-methyl-",92.46,11818,765-69-5,C6H8O2,"1,3-Cyclopentanedione, 2-methyl-",92.41,319162,765-69-5,C6H8O2
89,112,5.7302,100,"Cyclohexanone, 2-methyl-",94.83,305635,583-60-8,C7H12O,"Cyclohexanone, 2-methyl-",94.61,305501,583-60-8,C7H12O,"Cyclohexanone, 2-methyl-",94.53,305499,583-60-8,C7H12O,"2H-Pyran-2,6(3H)-dione",94.28,11783,5926-95-4,C5H4O3,"Aziridine, 2-(1,1-dimethylethyl)-1,3-dimethyl-",94.12,256708,55712-58-8,C8H17N,"1,4-cyclohexanedione, 2-octyl-",94.1,11670,,C14H24O2,"Cyclohexanamine, N-butyl-",94.04,11618,10108-56-2,C10H21N,"5'-Methoxy-6'-(3-(pyrrolidin-1-yl)propoxy)spiro[cyclobutane-1,3'-indol]-2'-amine",93.98,12007,,C19H27N3O2,"Aziridine, 2-tert-butyl-1,3-dimethyl-, trans-",93.92,256710,3203-94-9,C8H17N,.epsilon.-N-Formyl-L-lysine,93.85,11617,1190-48-3,C7H14N2O3,"2,6-Dihydroxyisonicotinic acid",93.81,319140,99-11-6,C6H5NO4,"2-Butenedioic acid, 2-methyl-, (E)-",93.8,11632,498-24-8,C5H6O4,"1,3-Cyclohexanedione",93.65,314426,504-02-9,C6H8O2,"2H-Pyran-2,6(3H)-dione",93.63,345353,5926-95-4,C5H4O3,"2-Butenedioic acid, 2-methyl-, (E)-",93.62,347172,498-24-8,C5H6O4,2-Hydroxymethyl-2-methyl-pyrrolidine-1-carboxaldehyde,93.6,11992,,C7H13NO2,"3,4-Dihydro-6-methyl-2H-pyran-2-one",93.57,274476,3740-59-8,C6H8O2,"1H-1,2,4-Triazol-3-amine, 1-ethyl-",93.45,11989,42786-04-9,C4H8N4,"1,3-Cyclohexanedione, 4-propyl-",93.37,11799,18456-81-0,C9H14O2,"1-Penten-3-one, 2,4-dimethyl-",93.33,305872,3212-68-8,C7H12O
91,113,5.8501,100,"3,4-Dimethylcyclopentanone",97.67,253381,58372-16-0,C7H12O,"2-Acetylamino-2-methylbut-3-enoic acid, ethyl ester",97.59,242767,,C9H15NO3,"2-(4-Bromobenzyl)pyrrolidine, N-acetyl-",97.39,242778,1790686-43-9,C13H16BrNO,"N-(4-Nitrophenyl)-2-pyrrolidinecarboxamide, N'-acetyl",97.3,242772,1286682-74-3,C13H15N3O4,"1,3-oxazole-4-carboxylic acid, 4,5-dihydro-5-(1-methylethyl)-, ethyl ester",97.17,242769,,C9H15NO3,"1-Acetyl-4,5-dihydro-1H-pyrazole",97.13,239503,,C5H8N2O,"2-Propenoic acid, 2-methyl-, ethenyl ester",96.3,237889,4245-37-8,C6H8O2,"2-Amino-N-cyclohexylethanesulfonamide, N,N'-bis-methyl",96.28,11923,1248686-42-1,C10H22N2O2S,Vinyl crotonate,96.06,305845,14861-06-4,C6H8O2,"Cyclobutane, 1,2",95.88,242785,,C10H18B2O4,1-(2-Methanesulfinylethyl)piperazine,95.87,242366,,C7H16N2OS,"Proline, 1-acetyl-, ethyl ester",95.8,242779,125347-82-2,C9H15NO3,4-Methyl-2-heptene,95.58,237997,3404-56-6,C8H16,"2-Heptene, 4-methyl-, (E)-",95.43,237996,66225-17-0,C8H16,"Pyrrolidine, 1-acetyl-2-(chloromethyl)-",95.25,242775,54385-06-7,C7H12ClNO,(3-Aminopropyl)dipropylborane,95.25,241949,60993-56-8,C9H22BN,1-(2-Hydroxymethylpyrrolidin-1-yl)ethanone,95.24,242768,,C7H13NO2,"3-Heptene, 4-methyl-",95.2,344849,4485-16-9,C8H16,"N-Acetyproline, O-TMS",95.06,242798,,C10H19NO3Si,"1,3-Butadien-1-ol, acetate",95.04,300021,1515-76-0,C6H8O2
90,114,5.8208,100,"3,4-Dimethylcyclopentanone",97.74,253381,58372-16-0,C7H12O,"2-Acetylamino-2-methylbut-3-enoic acid, ethyl ester",97.28,242767,,C9H15NO3,"N-(4-Nitrophenyl)-2-pyrrolidinecarboxamide, N'-acetyl",96.87,242772,1286682-74-3,C13H15N3O4,"1,3-oxazole-4-carboxylic acid, 4,5-dihydro-5-(1-methylethyl)-, ethyl ester",96.85,242769,,C9H15NO3,"2-(4-Bromobenzyl)pyrrolidine, N-acetyl-",96.81,242778,1790686-43-9,C13H16BrNO,"2-Amino-N-cyclohexylethanesulfonamide, N,N'-bis-methyl",96.81,11923,1248686-42-1,C10H22N2O2S,"1-Acetyl-4,5-dihydro-1H-pyrazole",96.35,239503,,C5H8N2O,"2-Propenoic acid, 2-methyl-, ethenyl ester",96.27,237889,4245-37-8,C6H8O2,"Cyclobutane, 1,2",96.01,242785,,C10H18B2O4,"Cyclopropane, [(1-propenyloxy)methyl]-",95.51,133142,64340-98-3,C7H12O,1-(2-Methanesulfinylethyl)piperazine,95.42,242366,,C7H16N2OS,"2-Hexene, 2,5-dimethyl-",95.4,305944,3404-78-2,C8H16,"3-Heptene, 4-methyl-",95.21,146211,4485-16-9,C8H16,4-Methyl-2-heptene,95.16,237997,3404-56-6,C8H16,"3-Heptene, 4-methyl-",95.13,344849,4485-16-9,C8H16,Vinyl crotonate,94.93,237846,14861-06-4,C6H8O2,Vinyl crotonate,94.91,305845,14861-06-4,C6H8O2,"3-Octene, (E)-",94.82,306760,14919-01-8,C8H16,"2-Heptene, 4-methyl-, (E)-",94.82,237996,66225-17-0,C8H16,"2-Octene, (E)-",94.79,134403,13389-42-9,C8H16
92,116,6.0757,100,3-Methylpyridazin-5-one,98.68,29108,,C5H8N2O,"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",98.62,319180,80-71-7,C6H8O2,1-Acetoxy-4-fluorobenzene,98.47,11727,405-51-6,C8H7FO2,"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",98.46,11892,80-71-7,C6H8O2,6-Azacytosine,98.38,319141,931-85-1,C3H4N4O,"Phenol, 4-fluoro-",98.34,319212,371-41-5,C6H5FO,"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",98.28,319189,80-71-7,C6H8O2,6-Azacytosine,98.26,11679,931-85-1,C3H4N4O,"1,4-Cyclohexanedione",98.18,345713,637-88-7,C6H8O2,ICN 3847,98.15,240485,40925-28-8,C8H13N4O8P,"2-Pyrrolidinecarboxylic acid, 1,2-dimethyl-5-oxo-, methyl ester",98.15,11795,56145-23-4,C8H13NO3,3-Hexamethyleneiminopropionitrile,98.13,11698,,C9H16N2,"1,4-Cyclohexanedione",98.08,223079,637-88-7,C6H8O2,"Phenol, 3-fluoro-",98.05,12004,372-20-3,C6H5FO,"1,2-Cyclopentanedione, 3-methyl-",98.05,319176,765-70-8,C6H8O2,"1,4-Cyclohexanedione",98.05,305752,637-88-7,C6H8O2,"2,2-Dimethyl-N-ethylpyrrolidine",98.03,11994,89214-93-7,C8H17N,Aminomaleimide,97.93,11664,37770-94-8,C4H4N2O2,2-(4-Fluorophenoxy)-2-methylpropanoic acid,97.87,12166,587-11-1,C10H11FO3,"1H-Indole-2,3-dione, 1-[(3-methyl-1-piperidinyl)methyl]-, 3-[(2-fluorophenyl)hydrazone]",97.83,11765,,C21H23FN4O
